Date,CPI,Employment Level,Hourly Earnings,Hours Worked,Unemployment Rate
2015-04-01,236.599,141196,24.89,34.5,5.4
2015-05-01,237.805,141538,24.97,34.5,5.6
2015-06-01,238.638,141709,24.97,34.5,5.3
2015-07-01,238.654,141991,25.01,34.6,5.2
2015-08-01,238.316,142125,25.09,34.6,5.1
2015-09-01,237.945,142275,25.11,34.5,5.0
2015-10-01,237.838,142579,25.2,34.5,5.0
2015-11-01,237.336,142808,25.25,34.5,5.1
2015-12-01,236.525,143077,25.25,34.5,5.0
2016-01-01,236.916,143210,25.37,34.6,4.8
2016-02-01,237.111,143407,25.38,34.4,4.9
2016-03-01,238.132,143662,25.45,34.4,5.0
2016-04-01,239.261,143855,25.53,34.4,5.1
2016-05-01,240.229,143900,25.58,34.4,4.8
2016-06-01,241.018,144146,25.62,34.4,4.9
2016-07-01,240.628,144520,25.69,34.5,4.8
2016-08-01,240.849,144662,25.71,34.3,4.9
2016-09-01,241.428,144967,25.77,34.4,5.0
2016-10-01,241.729,145066,25.9,34.4,4.9
2016-11-01,241.353,145183,25.9,34.4,4.7
2016-12-01,241.432,145408,25.93,34.4,4.7
2017-01-01,242.839,145628,26.0,34.4,4.7
2017-02-01,243.603,145848,26.07,34.3,4.6
2017-03-01,243.801,145969,26.11,34.3,4.4
2017-04-01,244.524,146174,26.17,34.4,4.4
2017-05-01,244.733,146380,26.21,34.4,4.4
2017-06-01,244.955,146583,26.26,34.4,4.3
2017-07-01,244.786,146772,26.35,34.4,4.3
2017-08-01,245.519,146919,26.37,34.4,4.4
2017-09-01,246.819,147007,26.49,34.4,4.3
2017-10-01,246.663,147150,26.5,34.4,4.2
2017-11-01,246.669,147373,26.54,34.5,4.2
2017-12-01,246.524,147523,26.63,34.5,4.1
2018-01-01,247.867,147660,26.72,34.4,4.0
2018-02-01,248.991,148054,26.74,34.5,4.1
2018-03-01,249.554,148280,26.85,34.5,4.0
2018-04-01,250.546,148422,26.91,34.5,4.0
2018-05-01,251.588,148740,26.98,34.5,3.8
2018-06-01,251.989,148959,27.03,34.6,4.0
2018-07-01,252.006,149020,27.1,34.5,3.8
2018-08-01,252.146,149279,27.21,34.5,3.8
2018-09-01,252.439,149358,27.32,34.4,3.7
2018-10-01,252.885,149526,27.37,34.5,3.8
2018-11-01,252.038,149617,27.44,34.4,3.8
2018-12-01,251.233,149809,27.56,34.5,3.9
2019-01-01,251.712,150059,27.59,34.5,4.0
2019-02-01,252.776,150065,27.69,34.4,3.8
2019-03-01,254.202,150295,27.77,34.5,3.8
2019-04-01,255.548,150593,27.79,34.4,3.7
2019-05-01,256.092,150621,27.88,34.4,3.6
2019-06-01,256.143,150839,27.96,34.4,3.6
2019-07-01,256.571,150936,28.03,34.4,3.7
2019-08-01,256.558,151171,28.14,34.4,3.6
2019-09-01,256.759,151365,28.16,34.4,3.5
2019-10-01,257.346,151460,28.23,34.3,3.6
2019-11-01,257.208,151668,28.34,34.3,3.6
2019-12-01,256.974,151795,28.38,34.3,3.6
2020-01-01,257.971,152031,28.43,34.3,3.6
2020-02-01,258.678,152292,28.54,34.3,3.5
2020-03-01,258.115,150895,28.74,34.1,4.4
2020-04-01,256.389,130424,30.04,34.2,14.8
2020-05-01,256.394,133040,29.72,34.7,13.2
2020-06-01,257.797,137671,29.38,34.6,11.0
2020-07-01,259.101,139255,29.39,34.6,10.2
2020-08-01,259.918,140819,29.5,34.7,8.4
2020-09-01,260.28,141770,29.51,34.7,7.8
2020-10-01,260.388,142461,29.55,34.8,6.9
2020-11-01,260.229,142731,29.64,34.8,6.7
2020-12-01,260.474,142548,29.91,34.8,6.7
2021-01-01,261.582,142913,29.92,35.0,6.4
2021-02-01,263.014,143422,30.07,34.6,6.2
2021-03-01,264.877,144246,30.04,34.9,6.1
2021-04-01,267.054,144611,30.23,35.0,6.1
2021-05-01,269.195,145032,30.41,34.9,5.8
2021-06-01,271.696,145828,30.55,34.8,5.9
2021-07-01,273.003,146759,30.66,34.8,5.4
2021-08-01,273.567,147246,30.79,34.7,5.1
2021-09-01,274.31,147712,30.96,34.8,4.7
2021-10-01,276.589,148569,31.15,34.7,4.5
2021-11-01,277.948,149206,31.25,34.8,4.2
2021-12-01,278.802,149781,31.41,34.8,3.9
2022-01-01,281.148,150006,31.62,34.5,4.0
2022-02-01,283.716,150875,31.66,34.7,3.8
2022-03-01,287.504,151346,31.82,34.6,3.7
2022-04-01,289.109,151651,31.96,34.7,3.7
2022-05-01,292.296,151892,32.1,34.6,3.6
2022-06-01,296.311,152353,32.2,34.6,3.6
2022-07-01,296.276,153049,32.35,34.6,3.5
2022-08-01,296.171,153286,32.44,34.5,3.6
2022-09-01,296.808,153513,32.55,34.5,3.5
2022-10-01,298.012,153913,32.7,34.6,3.6
2022-11-01,297.711,154210,32.84,34.5,3.6
2022-12-01,296.797,154336,32.96,34.4,3.5
2023-01-01,299.17,154780,33.05,34.6,3.5
2023-02-01,300.84,155086,33.16,34.4,3.6
2023-03-01,301.836,155171,33.28,34.4,3.5
2023-04-01,303.363,155387,33.42,34.4,3.4
2023-05-01,304.127,155614,33.52,34.4,3.6
2023-06-01,305.109,155871,33.69,34.4,3.6
2023-07-01,305.691,156019,33.84,34.3,3.5
2023-08-01,307.026,156176,33.89,34.4,3.7
2023-09-01,307.789,156334,33.99,34.4,3.8
2023-10-01,307.671,156520,34.07,34.3,3.9
2023-11-01,307.051,156661,34.19,34.4,3.7
2023-12-01,306.746,156930,34.31,34.4,3.8
2024-01-01,308.417,157049,34.47,34.2,3.7
2024-02-01,310.326,157271,34.54,34.3,3.9
2024-03-01,312.332,157517,34.67,34.4,3.9
2024-04-01,313.548,157635,34.75,34.2,3.9
2024-05-01,314.069,157828,34.89,34.3,4.0
2024-06-01,314.175,157915,35.0,34.3,4.1
2024-07-01,314.54,158003,35.07,34.2,4.2
2024-08-01,314.796,158074,35.23,34.3,4.2
2024-09-01,315.301,158314,35.33,34.2,4.1
2024-10-01,315.664,158358,35.48,34.3,4.1
2024-11-01,315.493,158619,35.61,34.3,4.2
2024-12-01,315.605,158942,35.68,34.2,4.1
2025-01-01,317.671,159053,35.83,34.1,4.0
2025-02-01,319.082,159155,35.90,34.2,4.1
2025-03-01,319.799,159275,36.02,34.3,4.2
2025-04-01,320.795,159433,36.08,34.3,4.2
2025-05-01,321.465,159452,36.23,34.3,4.2
2025-06-01,322.561,159439,36.31,34.2,4.1
2025-07-01,323.048,159511,36.43,34.3,4.2
2025-08-01,323.976,159507,36.58,34.2,4.3
2025-09-01,324.800,159626,36.67,34.2,4.4
